path,split,style,macro,tags_clean,pic_name,user_name
D:\leo\dataset_teste\robisto\chictopia\FrankvanderPoel\124647.jpg,train,chic,CHIC_ROMANTIC,"hot pink,pink,tod/s bag,blue,electric blue,flats,blue,electric blue,skirt,bubble gum,pink flowery,bl",124647.jpg,FrankvanderPoel
D:\leo\dataset_teste\robisto\chictopia\honeyplusmilk\186907.jpg,train,urban,TRENDY_ECLECTIC,"black,lace bloomers,iris shorts,tawny,aviators,aldo sunglasses,navy,sheer floral cardigan,express ca",186907.jpg,honeyplusmilk
D:\leo\dataset_teste\robisto\chictopia\MissyD\23634.jpg,train,classic,CASUAL_BASICO,"beige,urban outfitters dress,",23634.jpg,MissyD
D:\leo\dataset_teste\robisto\chictopia\AnhPhuong\59029.jpg,train,romantic,CHIC_ROMANTIC,"pink dress,cream hat,ivory heels,",59029.jpg,AnhPhuong
D:\leo\dataset_teste\robisto\chictopia\notdressedaslamb\130435.jpg,train,casual,CASUAL_BASICO,"purple,very jeans,heather gray,debenhams hat,crimson,muji blazer,magenta,urban outfitters socks,sky",130435.jpg,notdressedaslamb
D:\leo\dataset_teste\robisto\chictopia\CutenotKawaii\115090.jpg,train,romantic,CHIC_ROMANTIC,"dark brown,vitage hat,deep purple,anthropologie blouse,navy,anthropologie jacket,heather gray,target",115090.jpg,CutenotKawaii
D:\leo\dataset_teste\robisto\chictopia\fashiongirl17\129428.jpg,train,romantic,CHIC_ROMANTIC,"black,forever 21 dress,black,bow,aldo tights,purple,hair,diy accessories,",129428.jpg,fashiongirl17
D:\leo\dataset_teste\robisto\chictopia\pourprepapillon\111050.jpg,train,bohemian,EXPRESSIVE,"blue,india dress,brown,unknown shoes,",111050.jpg,pourprepapillon
D:\leo\dataset_teste\robisto\chictopia\donkeycool\48969.jpg,train,trendy,TRENDY_ECLECTIC,"black,zara boots,black,zara dress,tawny,maje coat,",48969.jpg,donkeycool
D:\leo\dataset_teste\robisto\chictopia\the109block\36752.jpg,train,urban,TRENDY_ECLECTIC,"blue,zara jeans,dark brown,urban outfitters bag,white,mango t-shirt,",36752.jpg,the109block
D:\leo\dataset_teste\robisto\chictopia\Nike\213241.jpg,train,comfortable,CASUAL_BASICO,"m&$ blazer,river island boots,american apparel dress,",213241.jpg,Nike
D:\leo\dataset_teste\robisto\chictopia\guiadeestilo\41932.jpg,train,comfortable,CASUAL_BASICO,"sheinside sweater,",41932.jpg,guiadeestilo
D:\leo\dataset_teste\robisto\chictopia\angelandaluz\48214.jpg,train,comfortable,CASUAL_BASICO,"floral print,forever 21 dress,suede,geox respira loafers,",48214.jpg,angelandaluz
D:\leo\dataset_teste\robisto\chictopia\heather26\205674.jpg,train,romantic,CHIC_ROMANTIC,"heather gray,jeffrey campbell boots,aquamarine,lf store dress,",205674.jpg,heather26
D:\leo\dataset_teste\robisto\chictopia\2daysleft\279296.jpg,train,elegant,CHIC_ROMANTIC,"black,valentino dress,",279296.jpg,2daysleft
D:\leo\dataset_teste\robisto\chictopia\lamechic\281400.jpg,train,comfortable,CASUAL_BASICO,"brown,vince camuto boots,brown,marc by marc jacobs bag,maroon,american eagle shorts,orange,target su",281400.jpg,lamechic
D:\leo\dataset_teste\robisto\chictopia\BrunetteJJ\208373.jpg,train,trendy,TRENDY_ECLECTIC,"vile broccoli fur tie,",208373.jpg,BrunetteJJ
D:\leo\dataset_teste\robisto\chictopia\mediamarmalade\170660.jpg,train,casual,CASUAL_BASICO,"keds shoes,skulls,lavish alice jumper,",170660.jpg,mediamarmalade
D:\leo\dataset_teste\robisto\chictopia\Fromcheaptochik\95589.jpg,train,casual,CASUAL_BASICO,"ivory,lookbookstore top,white,forever 21 pants,silver,shoedazzle wedges,",95589.jpg,Fromcheaptochik
D:\leo\dataset_teste\robisto\chictopia\lindseyburns\122296.jpg,train,classic,CASUAL_BASICO,"turquoise blue,vintage,thrifted blouse,black,skinny,h&m pants,gold,gold,target necklace,tan,aldo hee",122296.jpg,lindseyburns
D:\leo\dataset_teste\robisto\chictopia\fleurani\162176.jpg,train,trendy,TRENDY_ECLECTIC,"vero moda blouse,h&m skirt,",162176.jpg,fleurani
D:\leo\dataset_teste\robisto\chictopia\Sahakiel\295407.jpg,train,trendy,TRENDY_ECLECTIC,,295407.jpg,Sahakiel
D:\leo\dataset_teste\robisto\chictopia\NailahAli\104632.jpg,train,elegant,CHIC_ROMANTIC,"sleek cutout maxi dress,forever 21 dress,",104632.jpg,NailahAli
D:\leo\dataset_teste\robisto\chictopia\luxeandlinen\60642.jpg,train,trendy,TRENDY_ECLECTIC,"black,mules,forever 21 shoes,black,leather crossbody,tory burch bag,cream,grid plaid flannel,h&m top",60642.jpg,luxeandlinen
D:\leo\dataset_teste\robisto\chictopia\skinnybuddha\21758.jpg,train,urban,TRENDY_ECLECTIC,"navy,h&m shorts,black,thrifted,h&m cardigan,white,bershka t-shirt,black,jeffrey campbell sandals,",21758.jpg,skinnybuddha
D:\leo\dataset_teste\robisto\chictopia\Iulia\270823.jpg,train,bohemian,EXPRESSIVE,"boots,dress,jacket,",270823.jpg,Iulia
D:\leo\dataset_teste\robisto\chictopia\Gela\208121.jpg,train,urban,TRENDY_ECLECTIC,"white,jeggings,regatta jeans,light orange,zara bag,white,lace,top,sky blue,denim,promod vest,white,s",208121.jpg,Gela
D:\leo\dataset_teste\robisto\chictopia\marianelahd\22047.jpg,train,casual,CASUAL_BASICO,"zara boots,sheinside coat,stradivarius blouse,",22047.jpg,marianelahd
D:\leo\dataset_teste\robisto\chictopia\reyalfashion\6553.jpg,train,comfortable,CASUAL_BASICO,"white,v-neck,jockey shirt,navy,flannel,all saints spitafields shirt,tan,hot topic pants,dark brown,h",6553.jpg,reyalfashion
D:\leo\dataset_teste\robisto\chictopia\beluci25\172246.jpg,train,comfortable,CASUAL_BASICO,"j brand jeans jeans,unknown blouse,jessica simpson wedges,",172246.jpg,beluci25
D:\leo\dataset_teste\robisto\chictopia\aosakana\73007.jpg,train,elegant,CHIC_ROMANTIC,"basconi shoes,urma coat,nissa hat,",73007.jpg,aosakana
D:\leo\dataset_teste\robisto\chictopia\mayo_wo\143837.jpg,train,urban,TRENDY_ECLECTIC,"black,becky bloomwood/s wardrobe dress,ruby red,sheinside skirt,",143837.jpg,mayo_wo
D:\leo\dataset_teste\robisto\chictopia\Donata\217118.jpg,train,basic,CASUAL_BASICO,"black,knitted,cannot remember blouse,blue,distressed denims,zara shorts,brown,gucci bag,brown,leopar",217118.jpg,Donata
D:\leo\dataset_teste\robisto\chictopia\mayo_wo\144178.jpg,train,urban,TRENDY_ECLECTIC,"pink,h&m shirt,pink,h&m skirt,black,viktor & rolf shoes,",144178.jpg,mayo_wo
D:\leo\dataset_teste\robisto\chictopia\CandyUK\100664.jpg,train,classic,CASUAL_BASICO,"dark gray,weekday jeans,heather gray,chained,mango bag,white,striped,choies blouse,",100664.jpg,CandyUK
D:\leo\dataset_teste\robisto\chictopia\theflightoffancy\229474.jpg,train,comfortable,CASUAL_BASICO,"black,urban outfitters cardigan,black,via crossroads,american apparel t-shirt,black,wet seal jeans,p",229474.jpg,theflightoffancy
D:\leo\dataset_teste\robisto\chictopia\megannielsen\115518.jpg,train,romantic,CHIC_ROMANTIC,"pink,megan nielsen t-shirt,pink,myer skirt,white,vintage belt,white,steve madden shoes,pink,murano g",115518.jpg,megannielsen
D:\leo\dataset_teste\robisto\chictopia\Slimskii\99825.jpg,train,urban,TRENDY_ECLECTIC,"white,message on a sweat shirt pant,slimskii jumper,",99825.jpg,Slimskii
D:\leo\dataset_teste\robisto\chictopia\aosakana\73401.jpg,train,basic,CASUAL_BASICO,"camel trench coat,front row shop coat,",73401.jpg,aosakana
D:\leo\dataset_teste\robisto\chictopia\lafolie\27764.jpg,train,casual,CASUAL_BASICO,"zara sandals,",27764.jpg,lafolie
D:\leo\dataset_teste\robisto\chictopia\NickieSIXX\226388.jpg,train,romantic,CHIC_ROMANTIC,"black,h&m blazer,black,lace,i.n.c. blouse,pink,h&m skirt,black,bcbggirls shoes,gold,pearl,topshop ne",226388.jpg,NickieSIXX
D:\leo\dataset_teste\robisto\chictopia\amelie240\145275.jpg,train,elegant,CHIC_ROMANTIC,"black,wool,h&m hat,mustard,no name jacket,black,leather,no name bag,black,sinsay sunglasses,black,h&",145275.jpg,amelie240
D:\leo\dataset_teste\robisto\chictopia\AnniesBeautyHouse\200866.jpg,train,trendy,TRENDY_ECLECTIC,"justfab shoes,esprit bag,",200866.jpg,AnniesBeautyHouse
D:\leo\dataset_teste\robisto\chictopia\Ams\10902.jpg,train,elegant,CHIC_ROMANTIC,"choies.com sandals,",10902.jpg,Ams
D:\leo\dataset_teste\robisto\chictopia\theflightoffancy\229346.jpg,train,basic,CASUAL_BASICO,"black,wet seal jeans,black,crossroads hat,off white,crossroads,truly madly deeply sweater,brick red,",229346.jpg,theflightoffancy
D:\leo\dataset_teste\robisto\chictopia\MikiGumia\272140.jpg,train,urban,TRENDY_ECLECTIC,"aldo accessories,topshop cardigan,guess glasses,bench jeans,herve chapelier bag,forever21 t-shirt,",272140.jpg,MikiGumia
D:\leo\dataset_teste\robisto\chictopia\Laura86\2308.jpg,train,elegant,CHIC_ROMANTIC,"yellow,thrifted sweater,light pink,custom made skirt,",2308.jpg,Laura86
D:\leo\dataset_teste\robisto\chictopia\krly\50523.jpg,train,urban,TRENDY_ECLECTIC,"white,tank,top,mossimo,black ,skirt,dkny,",50523.jpg,krly
D:\leo\dataset_teste\robisto\chictopia\thesedays\191421.jpg,train,eclectic,TRENDY_ECLECTIC,"old navy dress,",191421.jpg,thesedays
D:\leo\dataset_teste\robisto\chictopia\camren103\149949.jpg,train,elegant,CHIC_ROMANTIC,"navy,zara dress,light blue,zara jacket,",149949.jpg,camren103
D:\leo\dataset_teste\robisto\chictopia\FashionMakeUpLife\170020.jpg,train,romantic,CHIC_ROMANTIC,"light blue,forever 21 shirt,ivory,justfab bag,pink,forever 21 skirt,cream,zara heels,pink,glamaratti",170020.jpg,FashionMakeUpLife
D:\leo\dataset_teste\robisto\chictopia\KP0ssible\37499.jpg,train,rocker,EXPRESSIVE,"vintage coat,david yurman necklace,forever 21 pants,dolce vita heels,tildon vest,",37499.jpg,KP0ssible
D:\leo\dataset_teste\robisto\chictopia\avoyagetruefashion\103090.jpg,train,bohemian,EXPRESSIVE,"brown,ankle boots,bershka boots,sky blue,printed,forever 21 dress,",103090.jpg,avoyagetruefashion
D:\leo\dataset_teste\robisto\chictopia\AnaRomero\175989.jpg,train,comfortable,CASUAL_BASICO,"zara dress,suiteblanco coat,calzedonia socks,",175989.jpg,AnaRomero
D:\leo\dataset_teste\robisto\chictopia\JayLovesVintage\133310.jpg,train,classic,CASUAL_BASICO,,133310.jpg,JayLovesVintage
D:\leo\dataset_teste\robisto\chictopia\nikkidargy\144170.jpg,train,rocker,EXPRESSIVE,"shorts,",144170.jpg,nikkidargy
D:\leo\dataset_teste\robisto\chictopia\clothingandhearts\127903.jpg,train,casual,CASUAL_BASICO,"white,bunny print,pimkie top,",127903.jpg,clothingandhearts
D:\leo\dataset_teste\robisto\chictopia\Coconut\61325.jpg,train,bohemian,EXPRESSIVE,"zara shoes,zara bag,",61325.jpg,Coconut
D:\leo\dataset_teste\robisto\chictopia\lienrebecca\196496.jpg,train,eclectic,TRENDY_ECLECTIC,"silver,h&m sweater,black,forever 21 skirt,black,bought in taiwan,leggings,black,sam edelman shoes,bl",196496.jpg,lienrebecca
D:\leo\dataset_teste\robisto\chictopia\rosaspinavintage\210725.jpg,train,comfortable,CASUAL_BASICO,"periwinkle,dear creatures dress,navy,max&co jacket,black,calzedonia tights,tawny,lush bag,black,wond",210725.jpg,rosaspinavintage
D:\leo\dataset_teste\robisto\chictopia\MichaelaMerkley\230618.jpg,train,eclectic,TRENDY_ECLECTIC,"eggshell,forever 21 dress,black,steve madden purse,magenta,maroon stockings,bronze,charlotte russe h",230618.jpg,MichaelaMerkley
D:\leo\dataset_teste\robisto\chictopia\aosakana\70275.jpg,train,urban,TRENDY_ECLECTIC,"black,cropped,topshop top,",70275.jpg,aosakana
D:\leo\dataset_teste\robisto\chictopia\barbroandersen\92327.jpg,train,eclectic,TRENDY_ECLECTIC,"black,j.c shoes,black,lace,miss crofton bra,black,bik bok pants,green,knit,iis of norway cardigan,",92327.jpg,barbroandersen
D:\leo\dataset_teste\robisto\chictopia\adelaM\8939.jpg,train,comfortable,CASUAL_BASICO,"black,unknown boots,black,no brand leggings,black,vintage scarf,red,handmade accessories,navy,unknow",8939.jpg,adelaM
D:\leo\dataset_teste\robisto\chictopia\Aneta\128996.jpg,train,elegant,CHIC_ROMANTIC,"hot pink,random hat,hot pink,vintage,christian dior blazer,black,salvatore ferragamo bag,silver,rand",128996.jpg,Aneta
D:\leo\dataset_teste\robisto\chictopia\Jeeda\31792.jpg,train,comfortable,CASUAL_BASICO,"black,balenciaga boots,blue,boyfriend,fade to blue jeans,red,plaid,denim & supply shirt,",31792.jpg,Jeeda
D:\leo\dataset_teste\robisto\chictopia\Kasica\80975.jpg,train,basic,CASUAL_BASICO,"total look,mango blazer,",80975.jpg,Kasica
D:\leo\dataset_teste\robisto\chictopia\hashtagbylily\175046.jpg,train,urban,TRENDY_ECLECTIC,"topshop shoes,forever 21 shorts,forever 21 cardigan,",175046.jpg,hashtagbylily
D:\leo\dataset_teste\robisto\chictopia\blackberrygirl\281479.jpg,train,bohemian,EXPRESSIVE,"cut offs,levis shorts,",281479.jpg,blackberrygirl
D:\leo\dataset_teste\robisto\chictopia\shecity\247477.jpg,train,classic,CASUAL_BASICO,"black,vintage jacket,white,marc by marc jacobs shoppingbag bag,beige,acne shoes,",247477.jpg,shecity
D:\leo\dataset_teste\robisto\chictopia\AncaIoanaBulgar\209469.jpg,train,casual,CASUAL_BASICO,"black dress,burnt orange jacket,tawny heels,",209469.jpg,AncaIoanaBulgar
D:\leo\dataset_teste\robisto\chictopia\Badman\83900.jpg,train,comfortable,CASUAL_BASICO,"solemate flats,sm accessories earrings,",83900.jpg,Badman
D:\leo\dataset_teste\robisto\chictopia\fashionchalet\132092.jpg,train,comfortable,CASUAL_BASICO,"black,sweater dress,lacoste dress,black,fiorentini + baker boots,watch,ralph lauren accessories,ruby",132092.jpg,fashionchalet
D:\leo\dataset_teste\robisto\chictopia\aladinesagisi\148568.jpg,train,rocker,EXPRESSIVE,"black,synthetic leather jacket,next jacket,maroon,zara shirt,",148568.jpg,aladinesagisi
D:\leo\dataset_teste\robisto\chictopia\Kadri\115572.jpg,train,trendy,TRENDY_ECLECTIC,"black,cross detail,love dress,gold,mango blazer,scarf,",115572.jpg,Kadri
D:\leo\dataset_teste\robisto\chictopia\Laiqah\273774.jpg,train,romantic,CHIC_ROMANTIC,"off white,satchel,bag,tawny,leather,belt,nude,suede,pumps,coral,stripe,top,black,pleated,skirt,gold,",273774.jpg,Laiqah
D:\leo\dataset_teste\robisto\chictopia\ChicParadise\104155.jpg,train,classic,CASUAL_BASICO,"blue,hudson jeans,",104155.jpg,ChicParadise
D:\leo\dataset_teste\robisto\chictopia\Donata\103420.jpg,train,basic,CASUAL_BASICO,"pink,linen,zara blazer,white,f21 shirt,black,chicasiancouture shoes,black,fringed,zara bag,",103420.jpg,Donata
D:\leo\dataset_teste\robisto\chictopia\Colourvibes\100580.jpg,train,basic,CASUAL_BASICO,"zara coat,zara jeans,zara sweater,mango bag,vero moda blouse,zara heels,",100580.jpg,Colourvibes
D:\leo\dataset_teste\robisto\chictopia\riamichelle\14203.jpg,train,comfortable,CASUAL_BASICO,"black,immense booties,joe/s jeans boots,black,glossy medium arno tote,brahmin bag,light blue,slasher",14203.jpg,riamichelle
D:\leo\dataset_teste\robisto\chictopia\amelie240\146359.jpg,train,eclectic,TRENDY_ECLECTIC,"turquoise blue,banana print,diy bag,yellow,banana brooch,handmade accessories,",146359.jpg,amelie240
D:\leo\dataset_teste\robisto\chictopia\ShopAKIRA\62448.jpg,train,classic,CASUAL_BASICO,"black,lace overlay peplum,shopakira dress,camel,knuckle duster spike clutch,akira purse,",62448.jpg,ShopAKIRA
D:\leo\dataset_teste\robisto\chictopia\abevyof\81718.jpg,train,eclectic,TRENDY_ECLECTIC,"light pink,crocheted,handmade hat,turquoise blue,high rise,urban outfitters pants,red,faux leather,t",81718.jpg,abevyof
D:\leo\dataset_teste\robisto\chictopia\melephant13\282957.jpg,train,classic,CASUAL_BASICO,"green,forever 21 dress,black,h&m hat,black,target tights,black,uniqlo cardigan,black,nine west flats",282957.jpg,melephant13
D:\leo\dataset_teste\robisto\chictopia\UrbanOG\10158.jpg,train,trendy,TRENDY_ECLECTIC,"driven-80n,boots,suspended in tribe,leggings,sweet molly satchel,bag,moonchild,sunglasses,neptune ro",10158.jpg,UrbanOG
D:\leo\dataset_teste\robisto\chictopia\Pink_Champagne\3240.jpg,train,eclectic,TRENDY_ECLECTIC,"blue,salvation army dress,red,salvation army belt,black,dollar tree tights,red,steve madden shoes,",3240.jpg,Pink_Champagne
D:\leo\dataset_teste\robisto\chictopia\abevyof\81714.jpg,train,eclectic,TRENDY_ECLECTIC,"ivory,lace,thrifted jacket,sky blue,cropped,american apparel shirt,teal,extra long,my mom/s new comp",81714.jpg,abevyof
D:\leo\dataset_teste\robisto\chictopia\LelaZivanovic\128558.jpg,train,trendy,TRENDY_ECLECTIC,"dark brown boots,forest green,leather,jacket,red,turtleneck,sweater,dark brown,snakeskin,vogue leggi",128558.jpg,LelaZivanovic
D:\leo\dataset_teste\robisto\chictopia\KikaZambrano\3219.jpg,train,chic,CHIC_ROMANTIC,"red,forever 21 pants,",3219.jpg,KikaZambrano
D:\leo\dataset_teste\robisto\chictopia\Badman\88060.jpg,train,urban,TRENDY_ECLECTIC,"sky blue,high waisted denim,la lune vintage shorts,light pink,tie dye,urban outfitters t-shirt,gold,",88060.jpg,Badman
D:\leo\dataset_teste\robisto\chictopia\amelie240\12721.jpg,train,trendy,TRENDY_ECLECTIC,"blue,geometric raceback,forever 21 dress,red,chain crossbody,jason wu bag,red,armadillo,alexander mc",12721.jpg,amelie240
D:\leo\dataset_teste\robisto\chictopia\AshleyBlackThoughtMarshall\62776.jpg,train,eclectic,TRENDY_ECLECTIC,"black,aldo boots,cream hat,black,urban outfitters romper,black,thrifted,blouse,tawny,thrifted,cape,",62776.jpg,AshleyBlackThoughtMarshall
D:\leo\dataset_teste\robisto\chictopia\annabelle64\10662.jpg,train,romantic,CHIC_ROMANTIC,"navy,kate spade bag,black,front row shop top,black,chanel heels,",10662.jpg,annabelle64
D:\leo\dataset_teste\robisto\chictopia\chyrelg\107182.jpg,train,rocker,EXPRESSIVE,"white,lace,vintage dress,",107182.jpg,chyrelg
D:\leo\dataset_teste\robisto\chictopia\jeroy\109290.jpg,train,casual,CASUAL_BASICO,"luck jacket,journeys sunglasses,gold dot wedges,",109290.jpg,jeroy
D:\leo\dataset_teste\robisto\chictopia\smileforstyle\2664.jpg,train,elegant,CHIC_ROMANTIC,"black,zigi soho boots,blue,foreign exchange dress,black,talbots coat,",2664.jpg,smileforstyle
D:\leo\dataset_teste\robisto\chictopia\Alexandra_Orasan\105823.jpg,train,casual,CASUAL_BASICO,"deichmann shoes,random brand blazer,bershka t-shirt,new yorker skirt,",105823.jpg,Alexandra_Orasan
D:\leo\dataset_teste\robisto\chictopia\age_marie\129160.jpg,train,basic,CASUAL_BASICO,"bubble gum,gap skirt,dark khaki cardigan,ivory,ankle bracelet,ivory blouse,",129160.jpg,age_marie
D:\leo\dataset_teste\robisto\chictopia\ellie777\114926.jpg,train,elegant,CHIC_ROMANTIC,"subexya bhadel dress,",114926.jpg,ellie777
D:\leo\dataset_teste\robisto\chictopia\AdventuresInFashion\31185.jpg,train,chic,CHIC_ROMANTIC,"neutral,feather print,forever 21 dress,off white,tahari sandals,coral,loft 82 belt,",31185.jpg,AdventuresInFashion
D:\leo\dataset_teste\robisto\chictopia\YesStyle\155212.jpg,train,casual,CASUAL_BASICO,"checked a-line skirt,urban lady skirt,",155212.jpg,YesStyle
D:\leo\dataset_teste\robisto\chictopia\Stylachica25\208619.jpg,train,trendy,TRENDY_ECLECTIC,"holiday dresses ark co dresses open back dresses,ark & co. dress,",208619.jpg,Stylachica25
D:\leo\dataset_teste\robisto\chictopia\adelaidex\66675.jpg,train,chic,CHIC_ROMANTIC,"black,shell,gillian tennant dress,black,mira,minskat copenhagen bag,black,tatum,urge sandals,",66675.jpg,adelaidex
D:\leo\dataset_teste\robisto\chictopia\jecssica\125694.jpg,train,basic,CASUAL_BASICO,"cream,v-neck,online bought shirt,cream bag,ruby red,floral harem,thrifted vintage pants,white,pensho",125694.jpg,jecssica
D:\leo\dataset_teste\robisto\chictopia\aimee_kris665\201273.jpg,train,basic,CASUAL_BASICO,"sky blue,anna morena dress,",201273.jpg,aimee_kris665
D:\leo\dataset_teste\robisto\chictopia\HollyDolly\65184.jpg,train,chic,CHIC_ROMANTIC,"black,thrifted dress,magenta,target tights,black,chanel purse,light yellow,seychelles heels,heather",65184.jpg,HollyDolly
D:\leo\dataset_teste\robisto\chictopia\instylequeen\271683.jpg,train,casual,CASUAL_BASICO,"black,gucci boots,black,patrizia pepe hat,maroon,gina tricot sweater,",271683.jpg,instylequeen
D:\leo\dataset_teste\robisto\chictopia\AJ_Saavedra\113330.jpg,train,comfortable,CASUAL_BASICO,"ivory,floral print,parisian boots,gold,knitted,zara sweater,camel,thrifted vintage skirt,gold,casio",113330.jpg,AJ_Saavedra
D:\leo\dataset_teste\robisto\chictopia\467360150\130135.jpg,train,romantic,CHIC_ROMANTIC,"magenta,united citizens dress,dark khaki,chicwish skirt,heather gray,sugarfree shoes heels,",130135.jpg,467360150
D:\leo\dataset_teste\robisto\chictopia\turquoisepassion\115600.jpg,train,basic,CASUAL_BASICO,"beige,vintage jacket,white,f21 dress,",115600.jpg,turquoisepassion
D:\leo\dataset_teste\robisto\chictopia\SaraLouise\211533.jpg,train,eclectic,TRENDY_ECLECTIC,"handmade dress,black,charity shop belt,white,m&s shirt,",211533.jpg,SaraLouise
D:\leo\dataset_teste\robisto\chictopia\Wendy\190248.jpg,train,basic,CASUAL_BASICO,"thrifted sweater,marshalls leggings,naturalizer shoes,",190248.jpg,Wendy
D:\leo\dataset_teste\robisto\chictopia\Amyswalkinwardrobe\113131.jpg,train,casual,CASUAL_BASICO,"navy,3 quarter skinnines,gap jeans,silver,grey london t,gap shirt,",113131.jpg,Amyswalkinwardrobe
D:\leo\dataset_teste\robisto\chictopia\nobz\42504.jpg,train,urban,TRENDY_ECLECTIC,"sly coat,emma&sam skirt,",42504.jpg,nobz
D:\leo\dataset_teste\robisto\chictopia\deathbyplatforms\7145.jpg,train,chic,CHIC_ROMANTIC,"black,mesh buckled,miista boots,black,with mesh pockets,folded & hung dress,white,round,asos sunglas",7145.jpg,deathbyplatforms
D:\leo\dataset_teste\robisto\chictopia\Jenette\141620.jpg,train,casual,CASUAL_BASICO,"forever 21 boots,forever 21 coat,ann taylor jacket,j.crew shirt,h&m pants,",141620.jpg,Jenette
D:\leo\dataset_teste\robisto\chictopia\thegummysweet\255559.jpg,train,trendy,TRENDY_ECLECTIC,"crimson,asos shoes,light pink,vintage shirt,pink,christian dior vintage sunglasses,brown,hm skirt,",255559.jpg,thegummysweet
D:\leo\dataset_teste\robisto\chictopia\abspencer_162\214650.jpg,train,rocker,EXPRESSIVE,"black,topshop hat,black,primark skirt,",214650.jpg,abspencer_162
D:\leo\dataset_teste\robisto\chictopia\ItsPaolaXoXo\294733.jpg,train,basic,CASUAL_BASICO,"gray,sequined yarn-dye,ellen tracy cardigan,black,lace ruffle tank,forever 21 dress,green,fringe,tar",294733.jpg,ItsPaolaXoXo
D:\leo\dataset_teste\robisto\chictopia\jehanprouvaire\80313.jpg,train,comfortable,CASUAL_BASICO,"heather gray,beret,tommy hilfiger hat,white,fairisle,romwe leggings,light blue,denim,shirt,black,chi",80313.jpg,jehanprouvaire
